"Name","State","Notes","User","Tags","Created","Runtime","Sweep","always_save_checkpoint","backend","batch_size","beta1","beta2","bias","block_size","compile","dataset","decay_lr","device","dropout","dtype","eval_interval","eval_iters","eval_only","grad_clip","gradient_accumulation_steps","init_from","learning_rate","log_interval","lr_decay_iters","max_iters","merge_dir","min_lr","n_embd","n_head","n_layer","out_dir","resume_dir","stitch_layer_index","use_original_head","wandb_log","wandb_project","wandb_run_name","warmup_iters","weight_decay","batch_size_alignment","iter","lr","mfu","train/loss","val/loss"
"gpt2-owt-learn-stitch-l_3-adamw7-adamw9_head7","finished","-","adrianrob","","2023-09-10T14:18:57.000Z","4232","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0001","100","1000","1001","gpt2-fw-adamw-1339","0.000001","768","12","12","out","gpt2-fw-adamw-1337","3","true","true","gpt2-owt","gpt2-owt-learn-stitch-l_3-adamw7-adamw9_head7","100","0.1","8","1000","0.000001","13.666823496342728","5.261598587036133","5.275170803070068"
"gpt2-owt-learn-stitch-l_6-adamw7-adamw9_head7","finished","-","adrianrob","","2023-09-10T12:56:21.000Z","3826","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0001","100","1000","1001","gpt2-fw-adamw-1339","0.000001","768","12","12","out","gpt2-fw-adamw-1337","6","true","true","gpt2-owt","gpt2-owt-learn-stitch-l_6-adamw7-adamw9_head7","100","0.1","8","1000","0.000001","14.281223802194363","4.771712779998779","4.785333156585693"
"gpt2-owt-learn-stitch-l_11-adamw7-adamw9_head7","finished","-","adrianrob","","2023-09-10T11:44:42.000Z","3252","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0001","100","1000","1001","gpt2-fw-adamw-1339","0.000001","768","12","12","out","gpt2-fw-adamw-1337","11","true","true","gpt2-owt","gpt2-owt-learn-stitch-l_11-adamw7-adamw9_head7","100","0.1","8","1000","0.000001","15.20309234064161","3.716280460357666","3.7290990352630615"
"gpt2-owt-learn-stitch-l_11-adamw7-adamw9","finished","-","adrianrob","","2023-09-10T10:51:30.000Z","3159","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0001","100","1000","1001","gpt2-fw-adamw-1339","0.000001","768","12","12","out","gpt2-fw-adamw-1337","11","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_11-adamw7-adamw9","100","0.1","8","1000","0.000001","15.45254464142625","5.856170654296875","5.873038291931152"
"gpt2-owt-learn-stitch-l_6-adamw7-adamw9","finished","-","adrianrob","","2023-09-10T09:47:49.000Z","3786","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0001","100","1000","1001","gpt2-fw-adamw-1339","0.000001","768","12","12","out","gpt2-fw-adamw-1337","6","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_6-adamw7-adamw9","100","0.1","8","1000","0.000001","15.058266850189492","5.461734771728516","5.473865985870361"
"gpt2-owt-learn-stitch-l_3-adamw7-adamw9","finished","-","adrianrob","","2023-09-10T08:36:50.000Z","4191","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0001","100","1000","1001","gpt2-fw-adamw-1339","0.000001","768","12","12","out","gpt2-fw-adamw-1337","3","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_3-adamw7-adamw9","100","0.1","8","1000","0.000001","14.664244591136152","4.643348217010498","4.653972148895264"
"gpt2-lg-owt-adamw-1339","finished","-","adrianrob","","2023-09-09T15:22:56.000Z","21594","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","scratch","0.001","100","1000","3501","out","0.00006","768","12","12","gpt2-fw-adamw-1339","out","5","false","true","gpt2-owt","gpt2-lg-owt-adamw-1339","300","0.1","8","3500","0.00006","11.399375495658376","3.5612869262695312","3.567199945449829"
"gpt2-owt-learn-stitch-l_1-adamw-sgd_adamw_h","finished","-","adrianrob","","2023-09-07T18:42:36.000Z","5721","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.001","100","1000","2000","gpt2-fw-sgd-1337","0.00006","768","12","12","gpt2-owt-learn-stitch-adamw-sgd_adamw_h","gpt2-fw-adamw-1337","1","true","true","gpt2-owt","gpt2-owt-learn-stitch-l_1-adamw-sgd_adamw_h","100","0.1","8","1900","0.00006","13.991510859913154","5.432763576507568","5.418568134307861"
"gpt2-owt-learn-stitch-l_3-sgd-adamw_sgd_h","finished","-","adrianrob","","2023-09-07T17:53:01.000Z","2775","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.001","100","1000","1001","gpt2-fw-adamw-1337","0.00006","768","12","12","out","gpt2-fw-sgd-1337","3","true","true","gpt2-owt","gpt2-owt-learn-stitch-l_3-sgd-adamw_sgd_h","100","0.1","8","1000","0.00006","12.386462566121962","8.234840393066406","8.234846115112305"
"gpt2-owt-learn-stitch-l_3-sgd-adamw","finished","-","adrianrob","","2023-09-07T16:30:11.000Z","2683","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.001","100","1000","1001","gpt2-fw-adamw-1337","0.00006","768","12","12","out","gpt2-fw-sgd-1337","3","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_3-sgd-adamw","100","0.1","8","1000","0.00006","13.77123264674259","6.958002090454102","6.946040153503418"
"gpt2-owt-learn-stitch-sgd-adamw","finished","-","adrianrob","","2023-09-07T15:01:29.000Z","2509","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.001","100","1000","1001","gpt2-fw-adamw-1337","0.00006","768","12","12","out","gpt2-fw-sgd-1337","5","false","true","gpt2-owt","gpt2-owt-learn-stitch-sgd-adamw","100","0.1","8","1000","0.00006","14.013983861247103","6.667196273803711","6.660040378570557"
"gpt2-owt-learn-stitch-l_11-sgd-adamw","finished","-","adrianrob","","2023-09-07T14:22:04.000Z","2029","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.001","100","1000","1001","gpt2-fw-adamw-1337","0.00006","768","12","12","out","gpt2-fw-sgd-1337","11","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_11-sgd-adamw","100","0.1","8","1000","0.00006","14.8833760872101","7.710638523101807","7.707035541534424"
"gpt2-owt-learn-stitch-l_11-adamw-sgd","finished","-","adrianrob","","2023-09-07T13:25:00.000Z","2021","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.001","100","600000","1001","gpt2-fw-sgd-1337","0.00006","768","12","12","gpt2-owt-learn-stitch-adamw-sgd","gpt2-fw-adamw-1337","11","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_11-adamw-sgd","2000","0.1","8","1000","0.0005","15.14819455121529","7.247114658355713","7.2444353103637695"
"gpt2-owt-learn-stitch-l_6-adamw-sgd","killed","-","adrianrob","","2023-09-07T12:10:51.000Z","3464","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0006","100","600000","1500","gpt2-fw-sgd-1337","0.00006","768","12","12","gpt2-owt-learn-stitch-adamw-sgd","gpt2-fw-adamw-1337","6","false","true","gpt2-owt","gpt2-owt-learn-stitch-l_6-adamw-sgd","2000","0.1","","1400","0.00042","14.76736292265842","7.136322498321533","7.167971134185791"
"gpt2-owt-learn-stitch-adamw-sgd","finished","-","adrianrob","","2023-09-07T10:22:56.000Z","3725","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0006","100","600000","1500","gpt2-fw-sgd-1337","0.00006","768","12","12","gpt2-owt-learn-stitch-adamw-sgd","gpt2-fw-adamw-1337","5","false","true","gpt2-owt","gpt2-owt-learn-stitch-adamw-sgd","2000","0.1","","1400","0.00042","14.642120007708307","7.135249137878418","7.167119979858398"
"gpt2-owt-learn-stitch-adamw-sgd_adamw_h","finished","-","adrianrob","","2023-09-07T08:36:02.000Z","4948","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0006","100","600000","2000","gpt2-fw-sgd-1337","0.00006","768","12","12","gpt2-owt-learn-stitch-adamw-sgd_adamw_h","gpt2-fw-adamw-1337","5","true","true","gpt2-owt","gpt2-owt-learn-stitch-adamw-sgd_adamw_h","2000","0.1","","1900","0.00057","14.69468845151314","4.597378253936768","4.579049587249756"
"gpt2-owt-learn-stitch-adamw-adam_adamw_h","finished","-","adrianrob","","2023-09-07T07:09:48.000Z","4961","","false","nccl","10","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","stitch","0.0006","100","600000","2000","gpt2-fw-adam-1337","0.00006","768","12","12","gpt2-owt-learn-stitch-adamw-adam_adamw_h","gpt2-fw-adamw-1337","5","true","true","gpt2-owt","gpt2-owt-learn-stitch-adamw-adam_adamw_h","2000","0.1","","1900","0.00057","14.598468290654266","4.592031955718994","4.573514938354492"
"gpt2-lg-owt-adam-1337","finished","-","adrianrob","","2023-09-06T08:15:34.000Z","32527","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","scratch","0.0006","100","600000","5201","out","0.00006","768","12","12","gpt2-fw-adam-1337","out","5","false","true","gpt2-owt","gpt2-lg-owt-adam-1337","2000","0.1","","5200","0.0005999618476868313","12.608020358800127","5.638325214385986","5.638505458831787"
"gpt2-lg-owt-sgd-1337","finished","-","adrianrob","","2023-09-05T17:09:04.000Z","31886","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","scratch","0.0006","100","600000","5201","out","0.00006","768","12","12","gpt2-fw-sgd-1337","out","5","false","true","gpt2-owt","gpt2-lg-owt-sgd-1337","2000","0.1","","5200","0.0005999618476868313","12.53438531969106","7.213934421539307","7.218931198120117"
"gpt2-lg-owt-adamw-1337","crashed","-","adrianrob","","2023-09-03T15:45:30.000Z","32046","","false","nccl","16","0.9","0.95","false","1024","true","openwebtext","true","cuda","0","bfloat16","100","100","false","1","40","scratch","0.0006","100","600000","5201","out","0.00006","768","12","12","gpt2-fw-adam-1337","out","5","false","true","gpt2-owt","gpt2-lg-owt-1337","2000","0.1","","5200","0.0005999618476868313","12.118779916674324","3.28980016708374","3.3101556301116943"